"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"tt5002648","6","nm0626566","actor","","[""Freddie Hamilton""]","Eddie Nestor","1964","","actor,script_department,writer","tt0117951,tt1109624,tt0353045,tt0096555"
"tt5002648","7","nm0424253","actor","","[""Officer Dwayne Myers""]","Danny John-Jules","1960","","actor,producer,writer","tt0187738,tt0091419,tt0120735,tt0094535"
"tt5002648","8","nm2713033","actor","","[""Officer J.P. Hooper""]","Tobi Bakare","1989","","actor,soundtrack,archive_footage","tt2802144,tt4649466,tt30334749,tt2711738"
"tt5002648","9","nm0913116","actor","","[""Commissioner Selwyn Patterson""]","Don Warrington","1952","","actor,soundtrack,archive_footage","tt1888075,tt0116477,tt0433405,tt0770620"
"tt5002648","10","nm0020717","actor","","[""Neil Jenkins""]","Keith Allen","1953","","actor,director,writer","tt0230600,tt0274309,tt4649466,tt0083402"
"tt5002648","11","nm1111921","actress","","[""Ella Thomas""]","Susie Amy","1981","","actress,archive_footage","tt1540400,tt0367188,tt0302103,tt1058915"
"tt5002680","1","nm0001216","actress","","[""Anouk Laban""]","Tara Fitzgerald","1967","","actress,director,music_department","tt1528100,tt0115744,tt0111201,tt0944947"
"tt5002680","2","nm1281686","actor","","[""Gary Holt""]","Andrew Whipp","","","actor,miscellaneous,producer","tt24871974,tt18347622,tt20765320,tt3006802"
"tt5002680","3","nm2733188","actress","","[""Kim Sweeney""]","Louisa Connolly-Burnham","","","actress,director,producer","tt26227192,tt9730700,tt2321596,tt1983079"
"tt5002680","4","nm1161994","actor","","[""Dexter Allen""]","Martin Compston","1984","","actor,producer,miscellaneous","tt0473488,tt2303687,tt0483607,tt0313670"
"tt5002680","5","nm1924735","actor","","[""Matt Holt""]","Alexander Arnold","1992","","actor,miscellaneous,director","tt8079248,tt14827150,tt3833480,tt0840196"
"tt5002680","6","nm0706511","actor","","[""Robert Holt""]","Alun Raglan","","","actor,archive_footage","tt0172495,tt14803220,tt0390740,tt5807292"
"tt5002680","7","nm7857713","actor","","[""Jackson""]","Danté Langlais-John-Jules","","","actor","tt1888075,tt5349020"
"tt5002680","8","nm0424253","actor","","[""Officer Dwayne Myers""]","Danny John-Jules","1960","","actor,producer,writer","tt0187738,tt0091419,tt0120735,tt0094535"
"tt5002680","9","nm2907225","actress","","[""DS Florence Cassell""]","Joséphine Jobert","1985","","actress","tt7854356,tt1178181,tt11324982,tt1328968"
"tt5002680","10","nm0550994","actor","","[""DI Humphrey Goodman""]","Kris Marshall","1973","","actor,producer,archive_footage","tt0314331,tt0795368,tt0379889,tt0240510"
"tt5207196","1","nm0550994","actor","","[""DI Humphrey Goodman""]","Kris Marshall","1973","","actor,producer,archive_footage","tt0314331,tt0795368,tt0379889,tt0240510"
"tt5207196","2","nm0424253","actor","","[""Officer Dwayne Myers""]","Danny John-Jules","1960","","actor,producer,writer","tt0187738,tt0091419,tt0120735,tt0094535"
"tt5207196","3","nm2907225","actress","","[""DS Florence Cassell""]","Joséphine Jobert","1985","","actress","tt7854356,tt1178181,tt11324982,tt1328968"
"tt5207196","4","nm1274538","actor","","[""Nelson Benedict""]","Jason Barnett","","","actor,producer,soundtrack","tt8740790,tt29547746,tt18938922,tt26627660"
"tt5207196","5","nm4760678","actress","","[""Zoe Mackay""]","Hannah Britland","1990","","actress,music_department","tt1924396,tt1979320,tt4051832,tt1548850"
"tt5207196","6","nm6826652","actress","","[""Rosey Fabrice""]","Fola Evans-Akingbola","","","actress,producer,director","tt13918776,tt21191806,tt11181824,tt21830902"
"tt5207196","7","nm2917590","actress","","[""Sadie Mernier""]","Elarica Johnson","","","actress","tt0417741,tt9340526,tt1856101,tt2177461"
"tt5207196","8","nm0629493","actor","","[""Jay Croker""]","Paul Nicholls","1979","","actor,stunts,archive_footage","tt0332136,tt0317198,tt0780653,tt0088512"
"tt5207196","9","nm4008100","actress","","[""Eloise Ronson""]","Heida Reed","1988","","actress,director,writer","tt1563738,tt8290476,tt13873302,tt3636060"
"tt5207196","10","nm0099953","actress","","[""Catherine Bordey""]","Elizabeth Bourgine","1957","","actress,assistant_director,music_department","tt1888075,tt0086282,tt0188462,tt0086550"
"tt5207202","1","nm5485710","actor","","[""Leo Richards""]","Tom York","","","actor","tt3636060,tt3681794,tt9128874"
"tt5207202","2","nm0048159","actor","","[""Astor Henri""]","Ariyon Bakare","1971","","actor,director,writer","tt5442430,tt0468569"
"tt5207202","3","nm2748661","actor","","[""Griff Morgan""]","Owain Arthur","1983","","actor,archive_footage","tt7631058,tt0941993,tt3661394,tt2101507"
"tt5207202","4","nm2929682","actress","","[""Sian Evans""]","Aimee-Ffion Edwards","1987","","actress,soundtrack","tt5875444,tt1474684,tt2442560,tt10562854"
"tt5207202","5","nm0642239","actress","","[""Perrie Campbell""]","Maggie O'Neill","1962","","actress,soundtrack","tt0095243,tt0157224,tt0091538,tt0105691"
"tt5207202","6","nm0424253","actor","","[""Officer Dwayne Myers""]","Danny John-Jules","1960","","actor,producer,writer","tt0187738,tt0091419,tt0120735,tt0094535"
"tt5207202","7","nm2713033","actor","","[""Officer J.P. Hooper""]","Tobi Bakare","1989","","actor,soundtrack,archive_footage","tt2802144,tt4649466,tt30334749,tt2711738"
"tt5207202","8","nm0550994","actor","","[""DI Humphrey Goodman""]","Kris Marshall","1973","","actor,producer,archive_footage","tt0314331,tt0795368,tt0379889,tt0240510"
"tt5207202","9","nm2907225","actress","","[""DS Florence Cassell""]","Joséphine Jobert","1985","","actress","tt7854356,tt1178181,tt11324982,tt1328968"
"tt5207202","10","nm0107988","actress","","[""Martha Lloyd""]","Sally Bretton","1980","","actress,soundtrack,archive_footage","tt0423661,tt0290978,tt0758771,tt0862614"
"tt5214850","1","nm0169982","actress","","[""Caroline Bamber""]","Lucy Cohu","1968","","actress,archive_footage","tt0280707,tt0416508,tt0464165,tt1687901"
"tt5214850","2","nm0913116","actor","","[""Commissioner Selwyn Patterson""]","Don Warrington","1952","","actor,soundtrack,archive_footage","tt1888075,tt0116477,tt0433405,tt0770620"
"tt5214850","3","nm3643989","actor","","[""Ellery Wallace""]","Tomiwa Edun","1984","","actor,miscellaneous","tt1536537,tt15009428,tt1661199,tt0436992"
"tt5214850","4","nm0512283","actor","","[""Andy Hammond""]","Nigel Lindsay","1969","","actor,soundtrack,archive_footage","tt1341167,tt8201186,tt5137338,tt0469021"
