"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles","castType"
"tt0611639","758","nm0298089","actor","","[""Tim Ablett""]","Christopher Fulford","","","acting","","guest"
"tt0611646","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611646","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611646","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611646","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611646","522","nm0864150","actor","","[""P.C. Dene""]","Tip Tipping","1958","1993","acting","","guest"
"tt0611646","549","nm0001519","actor","","[""Hugo De Vries""]","Ian McDiarmid","1944","","acting","","guest"
"tt0611646","577","nm0835016","actor","","[""PC Mike Butterworth""]","Mark Strong","1963","","acting","","guest"
"tt0611646","602","nm0193868","actor","","[""Desmond McNutt""]","Iain Cuthbertson","1930","2009","acting","","guest"
"tt0611646","623","nm0397843","actress","","[""Angry Neighbour""]","Jenny Howe","","","acting","","guest"
"tt0611646","779","nm1527846","actor","","[""Ambulance Man""]","Piers Ibbotson","1957","","acting","","guest"
"tt0611648","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
